Data;MKT;SMB;HML;WML;RF;BBSA3;PETR4;CMIG4;PORT
2020-07-03;0.006735815;0.009380972;0.006816813;0.004132896;8.44168E-05;0.0103;-0.0036;0;0.002824872
2020-07-02;-0.000342908;0.007594777;0.013547447;0.001913084;8.44168E-05;0.0027;0.0161;-0.0049;0.004054956
2020-07-01;0.01457716;0.014267348;-0.001680333;-0.001593521;8.44168E-05;0.0286;0.0074;0.0149;0.017869799
2020-06-30;-0.006004992;0.005413676;0.007890099;0.008340127;8.44168E-05;-0.0386;-0.0051;0.0134;-0.011513065
2020-06-29;0.019165335;0.003449257;0.004225295;-0.004113652;8.44168E-05;0.0509;0.0393;0.0258;0.039152682
2020-06-26;-0.021952074;-0.004803803;-0.002960689;0.002121035;8.44168E-05;-0.036;-0.0293;-0.0537;-0.039962292
2020-06-25;0.016629191;-0.009244625;-0.009536969;0.003040431;8.44168E-05;0.0245;0.0224;0.0149;0.020685644
2020-06-24;-0.017190654;-0.005584391;-0.009775829;0.027832558;8.44168E-05;-0.0391;-0.03;-0.0319;-0.034053721
2020-06-23;0.003896755;0.006379146;6.9181E-05;0.000454982;8.44168E-05;0.0087;0.0334;-0.0157;0.007729075
2020-06-22;-0.011183039;0.032677345;0.015783593;-0.011312248;8.44168E-05;-0.0206;-0.0242;0.0176;-0.008894538
2020-06-19;0.006170155;0.010372683;0.000948465;0.014201611;8.44168E-05;-0.0134;-0.006;0.0016;-0.006243846
2020-06-18;0.006262372;-0.004815544;0.000632825;-0.004352106;8.44168E-05;-0.0029;0.0075;-0.0311;-0.00929255
2020-06-17;0.022605818;0.006321531;0.011193302;0.005567975;8.67472E-05;0.0299;0.0033;0.054;0.030218962
2020-06-16;0.010612387;-0.006978982;0.011145717;-0.007786896;8.83E-05;0.013;0.0324;0.0356;0.026178208
2020-06-15;-0.003827014;-0.002196808;-0.004160219;0.008739823;8.94642E-05;-0.0084;0.0049;-0.0264;-0.01054557
2020-06-12;-0.018890681;-0.007603616;-0.007307393;0.02885418;9.10159E-05;-0.0251;-0.0374;-0.0411;-0.034013074
2020-06-10;-0.020461382;-0.021700038;-0.015663043;0.026362088;9.17916E-05;-0.0441;-0.0147;-0.0453;-0.035961811
2020-06-09;-0.009813322;-0.002071564;0.001521273;-0.000608526;9.41176E-05;-0.0165;-0.036;0.003;-0.015654423
2020-06-08;0.030912787;0.018052954;0.019276939;-0.043087866;9.52801E-05;0.0338;0.0195;0.0543;0.036489627
2020-06-05;0.010744022;0.006358503;-0.001914364;-0.009515524;9.72169E-05;0.0074;0.0313;0.0195;0.018380297
2020-06-04;0.007323491;0.01841642;0.014046214;-0.002039797;9.76042E-05;0.0055;-0.0019;-0.0065;-0.000654765
2020-06-03;0.020214802;0.026442748;-0.005466895;0.004198756;9.91527E-05;0.0588;0.0033;0.0115;0.026892372
2020-06-02;0.026101636;0.019725624;0.010847231;-0.020023923;0.000100701;0.0321;0.0526;0.02;0.03401495
2020-06-01;0.013276181;0.02675147;0.007933117;-0.012744596;0.000102635;0.0311;-0.0005;0.0101;0.014912577
2020-05-29;0.002565161;-0.008202479;0.00576584;-0.000874254;0.000103408;0.0016;0.0288;0.0172;0.014707015
2020-05-28;-0.012134034;0.002259412;0.009219155;-0.015779523;0.000104182;-0.0036;-0.008;-0.0283;-0.013122678
2020-05-27;0.031059451;0.00882794;0.011190616;0.003981508;0.000104955;0.0036;0.0132;0.0435;0.019706638
2020-05-26;0.001789972;0.004231075;-0.011526228;0.014401986;0.000105728;-0.0225;0.0098;0.0436;0.008944944
2020-05-25;0.04047953;0.007000584;0.002941143;0.01415626;0.000106114;0.1049;0.0434;0.072;0.076056439
2020-05-22;-0.009928222;-0.012893585;0.007848738;-0.010089147;0.000106887;-0.0256;-0.0271;0.0118;-0.013551665
2020-05-21;0.018537799;0.010398703;0.005782889;0.023388652;0.000107273;0.0706;-0.0057;0.0539;0.042865525
2020-05-20;0.005871831;0.0121467;0.007016928;-0.007468516;0.000108045;0.0251;0.0332;0.0277;0.028320382
2020-05-19;-0.004296898;-0.000775687;-0.010224124;0.017706078;0.000108818;-0.027;0.0076;-0.027;-0.016951001
2020-05-18;0.043754514;0.008844245;0.012865759;0.010495901;0.000108818;0.0478;0.081;0.0687;0.064418737
2020-05-15;-0.018643662;0.022165952;-0.00289412;-0.002610137;0.000109976;-0.0188;-0.0144;-0.0445;-0.02610066
2020-05-14;0.016574068;-0.000992794;0.006214339;-0.004962236;0.000110362;0.0431;-0.0108;0.0851;0.041465084
2020-05-13;-0.003991181;-0.017387133;-0.006182313;-0.003372759;0.000111134;-0.0289;-0.0303;-0.0181;-0.025701606
2020-05-12;-0.015636694;-0.012016503;-0.004137183;-0.004599281;0.000111134;-0.0352;-0.0006;-0.0285;-0.022914565
2020-05-11;-0.0131373;-0.009041406;-0.011477102;0.003336454;0.000110748;0.0063;-0.0179;-0.038;-0.015515671
2020-05-08;0.024086103;-0.017659483;0.015226271;-0.02669638;0.00011152;0.032;0.0596;0.0418;0.043287169
2020-05-07;-0.01429944;-0.020535294;-0.006683119;-0.010398446;0.000111906;-0.027;0.0093;-0.0599;-0.027439166
2020-05-06;-0.00386413;0.000823274;-0.00922086;0.007816958;0.00011923;-0.0291;-0.0368;-0.0472;-0.037378053
2020-05-05;0.008069374;-0.01047684;0.001705054;0.003074404;0.00011923;0.0014;0.0322;0;0.009878037
2020-05-04;-0.01541737;-0.004034767;-0.003521483;0.004473368;0.000123079;-0.026;-0.0371;-0.0287;-0.030125062
